 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -55 ° ;1.460;2.350;3.800;6.500;11.200;21.000;40.000;88.000
 -60 ° ;1.400;2.350;4.000;6.900;12.500;24.000;49.000;110.000
 -65 ° ;1.320;2.300;4.100;7.400;13.900;27.500;59.000;140.000
 -70 ° ;1.230;2.300;4.200;7.900;15.400;32.000;69.000;176.000
 -75 ° ;1.140;2.200;4.300;8.500;17.200;37.000;84.000;220.000
 -80 ° ;1.010;2.150;4.400;9.000;19.100;42.000;102.000;280.000
 -85 ° ;  ;2.050;4.400;9.600;21.000;50.000;122.000;350.000
 -90 ° ;  ;1.900;4.500;10.200;23.500;57.000;148.000;440.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;1.040;1.200;1.400
 30 ° ;  ;  ;1.070;1.220;1.370;1.500;1.800;2.000
 25 ° ;1.070;1.180;1.330;1.490;1.700;2.000;2.300;2.700
 20 ° ;1.170;1.330;1.520;1.760;2.000;2.400;2.800;3.600
 15 ° ;1.260;1.450;1.680;1.950;2.350;2.800;3.600;4.500
 10 ° ;1.340;1.560;1.850;2.250;2.700;3.300;4.300;5.800
 5 ° ;1.400;1.680;2.000;2.500;3.100;3.900;5.200;7.100
 0 ° ;1.460;1.780;2.200;2.750;3.500;4.600;6.200;8.700
 -5 ° ;1.510;1.880;2.350;3.100;4.000;5.400;7.400;11.000
 -10 ° ;1.560;1.970;2.550;3.400;4.500;6.300;9.000;13.500
 -15 ° ;1.590;2.050;2.700;3.700;5.100;7.300;11.000;17.500
 -20 ° ;1.620;2.150;2.900;4.000;5.700;8.400;13.000;22.000
 -25 ° ;1.630;2.200;3.100;4.400;6.400;9.600;15.800;27.500
