Beta/phi=-1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 25 ° ;1.100;1.220;1.390;1.600;1.860;2.200;2.700;3.500
 20 ° ;1.180;1.340;1.560;1.830;2.200;2.700;3.400;4.400
 15 ° ;1.260;1.480;1.740;2.100;2.550;3.200;4.200;6.000
 10 ° ;1.340;1.590;1.920;2.350;2.950;3.800;5.100;7.500
 5 ° ;1.410;1.710;2.100;2.650;3.400;4.600;6.200;9.500
 0 ° ;1.480;1.840;2.300;2.950;3.900;5.400;7.700;12.000
 -5 ° ;1.530;1.940;2.500;3.300;4.500;6.400;9.400;15.000
 -10 ° ;1.580;2.050;2.700;3.700;5.100;7.500;11.300;19.000
 -15 ° ;1.620;2.150;2.900;4.000;5.800;8.400;14.000;24.000
 -20 ° ;1.650;2.250;3.100;4.400;6.600;10.200;16.400;30.000
 -25 ° ;1.670;2.300;3.300;4.800;7.400;12.000;20.500;38.000
 -30 ° ;1.680;2.400;3.500;5.300;8.300;13.100;24.500;48.000
 -35 ° ;1.670;2.450;3.700;5.800;9.400;16.000;30.000;60.000
 -40 ° ;1.660;2.500;3.900;6.200;10.400;18.500;36.000;76.000
 -45 ° ;1.640;2.550;4.100;6.800;11.700;21.500;43.000;96.000
 -50 ° ;1.600;2.600;4.300;7.300;13.100;25.000;54.000;120.000
 -55 ° ;1.550;2.600;4.400;7.900;14.600;29.000;62.000;152.000
 -60 ° ;1.490;2.600;4.600;8.400;16.400;33.000;76.000;190.000
 -65 ° ;1.420;2.600;4.800;9.100;18.300;39.000;90.000;240.000
 -70 ° ;1.330;2.550;4.900;9.100;20.500;45.000;110.000;300.000
 -75 ° ;1.220;2.500;5.100;10.500;22.500;52.000;130.000;380.000
 -80 ° ;1.110;2.400;5.200;11.300;25.000;61.000;160.000;480.000
 -85 ° ;  ;2.300;5.300;12.000;28.000;70.000;193.000;600.000
 -90 ° ;  ;2.200;5.400;13.000;32.000;80.000;230.000;760.000
;;;;;;;;
 Beta\Phi=-0.333 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;1.150;1.300
 40 ° ;  ;  ;  ;1.060;1.150;1.300;1.560;1.800
 35 ° ;  ;1.030;1.130;1.210;1.450;1.680;2.000;2.550
 30 ° ;1.040;1.160;1.300;1.480;1.730;2.100;2.600;3.200
 25 ° ;1.130;1.280;1.470;1.750;2.100;2.500;3.200;4.300
 20 ° ;1.220;1.400;1.660;1.980;2.400;3.100;4.000;5.300
 15 ° ;1.290;1.530;1.840;2.250;2.850;3.100;5.000;7.200
 10 ° ;1.390;1.660;2.050;2.550;3.300;4.400;6.000;9.000
 5 ° ;1.450;1.780;2.250;2.850;3.800;5.200;6.100;11.500
 0 ° ;1.500;1.900;2.450;3.200;4.300;6.100;8.900;14.000
 -5 ° ;1.560;2.000;2.650;3.500;4.900;7.200;11.000;18.400
 -10 ° ;1.620;2.100;2.850;3.900;5.600;8.400;13.300;23.000
 -15 ° ;1.650;2.200;3.000;4.300;6.300;8.900;16.000;29.000
 -20 ° ;1.680;2.300;3.300;4.700;7.200;11.600;18.800;36.000
 -25 ° ;1.700;2.400;3.500;5.100;8.100;13.500;24.000;46.000
 -30 ° ;1.710;2.500;3.700;5.600;9.100;15.400;28.500;59.000
 -35 ° ;1.710;2.550;3.900;6.200;10.200;17.800;34.000;74.000
 -40 ° ;1.700;2.600;4.100;6.700;11.400;21.000;42.000;92.000
 -45 ° ;1.670;2.650;4.300;7.300;12.800;24.000;50.000;116.000
 -50 ° ;1.630;2.700;4.500;7.800;14.200;28.000;60.000;146.000
 -55 ° ;1.580;2.700;4.700;8.500;16.000;33.000;72.000;185.000
 -60 ° ;1.520;2.700;4.900;9.000;18.000;37.000;88.000;230.000
 -65 ° ;1.440;2.650;5.000;9.800;20.000;44.000;105.000;290.000
 -70 ° ;1.360;2.650;5.200;10.400;22.500;51.000;128.000;310.000
