 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;1.000;1.050
 25 ° ;  ;  ;1.040;1.060;1.210;1.330;1.420;1.600
 20 ° ;1.080;1.170;1.280;1.410;1.580;1.720;1.950;2.200
 15 ° ;1.190;1.330;1.490;1.710;1.920;2.150;2.500;2.950
 10 ° ;1.270;1.450;1.660;1.900;2.200;2.550;3.000;3.600
 5 ° ;1.330;1.560;1.820;2.100;2.550;3.000;3.700;4.700
 0 ° ;1.390;1.650;1.970;2.300;2.900;3.500;4.400;5.500
 -5 ° ;1.400;1.750;2.150;2.600;3.200;4.100;5.200;7.000
 -10 ° ;1.480;1.830;2.250;2.850;3.600;4.700;6.100;8.600
 -15 ° ;1.520;1.910;2.450;3.100;4.100;5.400;7.500;10.500
 -20 ° ;1.540;1.980;2.600;3.400;4.600;6.300;8.800;13.100
 -25 ° ;1.560;2.050;2.750;3.700;5.100;7.200;10.600;16.000
 -30 ° ;1.560;2.100;2.900;4.000;5.700;8.200;12.500;20.000
 -35 ° ;1.550;2.150;3.000;4.300;6.300;9.500;15.000;25.000
 -40 ° ;1.530;2.200;3.200;4.600;7.000;11.000;18.000;31.000
 -45 ° ;1.500;2.200;3.300;5.000;7.700;12.400;21.500;38.000
 -50 ° ;1.460;2.200;3.400;5.300;8.500;14.500;26.000;49.000
 -55 ° ;1.410;2.200;3.500;5.700;9.500;16.500;31.000;60.000
 -60 ° ;1.350;2.200;3.600;6.000;10.500;19.000;37.000;78.000
 -65 ° ;1.270;2.150;3.700;6.500;11.700;22.000;44.000;98.000
 -70 ° ;1.180;2.100;3.800;6.900;12.900;25.000;53.000;122.000
 -75 ° ;1.070;2.050;3.900;7.300;14.400;29.000;64.000;152.000
 -80 ° ;  ;1.960;3.900;7.800;15.900;34.000;77.000;194.000
 -85 ° ;  ;1.860;3.900;8.300;17.600;39.000;93.000;240.000
 -90 ° ;  ;1.720;4.000;8.800;19.000;45.000;112.000;310.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;1.000;1.050;1.200;1.300;1.500
 25 ° ;  ;1.070;1.160;1.300;1.440;1.600;1.750;2.100
 20 ° ;1.140;1.250;1.400;1.560;1.780;2.000;2.350;2.750
 15 ° ;1.230;1.390;1.580;1.840;2.150;2.400;2.900;3.600
 10 ° ;1.250;1.510;1.740;2.050;2.450;2.850;3.400;4.300
 5 ° ;1.270;1.620;1.900;2.300;2.750;3.400;4.100;5.600
 0 ° ;1.420;1.710;2.050;2.500;3.100;4.000;5.200;6.700
 -5 ° ;1.470;1.810;2.250;2.800;3.500;4.600;6.000;8.500
 -10 ° ;1.510;1.880;2.350;3.100;4.000;5.300;7.200;10.200
 -15 ° ;1.550;1.980;2.550;3.300;4.400;6.100;8.700;12.500
 -20 ° ;1.570;2.050;2.700;3.600;5.000;7.100;10.300;15.800
 -25 ° ;1.590;2.100;2.900;3.900;5.600;8.100;12.300;19.000
 -30 ° ;1.590;2.150;3.000;4.200;6.200;9.200;14.500;25.000
 -35 ° ;1.590;2.200;3.200;4.600;6.900;10.600;17.600;30.000
 -40 ° ;1.560;2.250;3.300;4.900;7.600;12.300;21.000;38.000
 -45 ° ;1.530;2.300;3.400;5.300;8.400;13.900;25.000;47.000
 -50 ° ;1.490;2.300;3.500;5.700;9.400;16.300;30.000;60.000
 -55 ° ;1.440;2.300;3.700;6.100;10.400;18.500;37.000;74.000
 -60 ° ;1.380;2.250;3.800;6.500;11.500;21.500;43.000;94.000
 -65 ° ;1.290;2.250;3.900;6.900;12.800;24.500;51.000;118.000
 -70 ° ;1.200;2.150;4.000;7.400;14.000;29.000;62.000;148.000
 -75 ° ;1.090;2.100;4.000;7.800;15.600;33.000;75.000;188.000
 -80 ° ;  ;2.050;4.000;8.300;17.500;38.000;90.000;235.000
 -85 ° ;  ;1.920;4.100;8.800;19.200;44.000;107.000;290.000
 -90 ° ;  ;1.790;4.200;9.400;21.500;51.000;130.000;370.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;1.030;1.030
 35 ° ;  ;  ;  ;1.000;1.120;1.300;1.500;1.750
 30 ° ;  ;1.050;1.160;1.330;1.500;1.740;2.000;2.400
 25 ° ;1.100;1.230;1.390;1.610;1.850;2.200;2.600;3.200
 20 ° ;1.220;1.420;1.580;1.860;2.200;2.600;3.200;3.900
 15 ° ;1.290;1.550;1.760;2.100;2.500;3.100;3.800;5.000
 10 ° ;1.360;1.620;1.920;2.300;2.900;3.600;4.500;6.000
 5 ° ;1.420;1.720;2.100;2.600;3.200;4.200;5.600;7.700
 0 ° ;1.480;1.810;2.250;2.800;3.700;4.900;6.600;9.400
 -5 ° ;1.520;1.920;2.450;3.100;4.200;5.800;7.900;11.700
 -10 ° ;1.570;2.000;2.600;3.400;4.700;6.500;9.300;14.100
 -15 ° ;1.600;2.100;2.800;3.700;5.200;7.500;11.400;17.800
