 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -5 ° ;1.310;1.500;1.720;1.980;2.300;2.650;3.100;3.700
 -10 ° ;1.330;1.540;1.780;2.100;2.450;2.850;3.400;4.200
 -15 ° ;1.340;1.560;1.840;2.150;2.600;3.100;3.800;4.700
 -20 ° ;1.330;1.580;1.880;2.250;2.750;3.300;4.200;5.400
 -25 ° ;1.320;1.590;1.920;2.350;2.900;3.600;4.600;6.100
 -30 ° ;1.300;1.590;1.950;2.400;3.000;3.900;5.100;7.000
 -35 ° ;1.270;1.580;1.970;2.500;3.200;4.200;5.700;8.100
 -40 ° ;1.230;1.560;1.980;2.550;3.400;4.500;6.300;9.400
 -45 ° ;1.180;1.520;1.970;2.600;3.500;4.800;7.000;11.000
 -50 ° ;1.120;1.480;1.960;2.650;3.600;5.200;7.900;12.800
 -55 ° ;1.050;1.420;1.930;2.650;3.800;5.600;8.800;15.200
 -60 ° ;  ;1.350;1.880;2.700;3.900;6.100;10.000;18.000
 -65 ° ;  ;1.270;1.830;2.700;4.100;6.500;11.300;21.500
 -70 ° ;  ;1.180;1.760;2.650;4.200;7.000;12.900;26.000
 -75 ° ;  ;1.070;1.660;2.650;4.300;7.600;14.600;31.000
 -80 ° ;  ;  ;1.550;2.600;4.500;8.300;16.700;36.000
 -85 ° ;  ;  ;1.420;2.500;4.600;8.900;19.300;47.000
 -90 ° ;  ;  ;1.290;2.400;4.700;9.800;22.500;58.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;1.000;1.010;1.050;1.090;1.110
 35 ° ;  ;  ;1.040;1.110;1.160;1.220;1.280;1.330
 30 ° ;1.000;1.080;1.160;1.240;1.320;1.400;1.490;1.570
 25 ° ;1.070;1.170;1.260;1.370;1.470;1.600;1.710;1.840
 20 ° ;1.140;1.250;1.370;1.500;1.630;1.780;1.950;2.150
 15 ° ;1.190;1.320;1.460;1.620;1.780;1.980;2.200;2.450
 10 ° ;1.240;1.380;1.540;1.730;1.940;2.200;2.450;2.800
 5 ° ;1.280;1.440;1.630;1.840;2.100;2.400;2.750;3.200
 0 ° ;1.300;1.480;1.700;1.950;2.250;2.600;3.000;3.700
 -5 ° ;1.330;1.530;1.780;2.050;2.500;2.850;3.400;4.100
 -10 ° ;1.340;1.560;1.830;2.150;2.700;3.100;3.800;4.700
 -15 ° ;1.350;1.590;1.890;2.250;2.850;3.300;4.200;5.400
 -20 ° ;1.340;1.610;1.940;2.350;3.000;3.600;4.600;6.200
 -25 ° ;1.330;1.620;1.970;2.450;3.200;3.900;5.200;7.200
 -30 ° ;1.310;1.620;2.000;2.500;3.400;4.200;5.700;8.200
 -35 ° ;1.280;1.600;2.000;2.600;3.600;4.500;6.400;9.600
 -40 ° ;1.240;1.580;2.050;2.650;3.700;4.900;7.100;11.200
 -45 ° ;1.190;1.550;2.000;2.700;3.900;5.300;8.000;13.200
 -50 ° ;1.130;1.500;2.000;2.750;4.100;5.700;9.000;15.600
 -55 ° ;1.060;1.440;1.980;2.750;4.300;6.200;10.100;18.500
 -60 ° ;  ;1.370;1.930;2.800;4.400;6.600;11.500;22.000
 -65 ° ;  ;1.290;1.870;2.800;4.600;7.200;13.000;27.000
 -70 ° ;  ;1.190;1.790;2.750;4.700;7.700;14.900;33.000
 -75 ° ;  ;1.090;1.700;2.750;4.900;8.400;17.000;40.000
 -80 ° ;  ;  ;1.560;2.650;5.100;9.200;19.800;49.000
 -85 ° ;  ;  ;1.450;2.600;5.200;10.000;23.000;60.000
 -90 ° ;  ;  ;1.300;2.500;5.300;11.000;27.000;74.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;1.020;1.050;1.070
 40 ° ;  ;  ;1.020;1.080;1.140;1.200;1.250;1.290
 35 ° ;  ;1.050;1.130;1.210;1.300;1.390;1.480;1.570
 30 ° ;1.040;1.140;1.240;1.350;1.450;1.580;1.720;1.860
 25 ° ;1.110;1.220;1.340;1.470;1.620;1.770;1.870;2.150
 20 ° ;1.170;1.290;1.430;1.600;1.780;1.970;2.200;2.500
 15 ° ;1.220;1.360;1.530;1.720;1.940;2.200;2.500;2.850
 10 ° ;1.260;1.430;1.600;1.820;2.050;2.400;2.800;3.300
 5 ° ;1.290;1.480;1.690;1.940;2.250;2.600;3.100;3.800
 0 ° ;1.320;1.510;1.760;2.050;2.400;2.850;3.500;4.400
 -5 ° ;1.340;1.570;1.840;2.150;2.600;3.100;3.900;5.000
 -10 ° ;1.360;1.600;1.900;2.250;2.750;3.400;4.300;5.700
 -15 ° ;1.360;1.630;1.960;2.400;2.900;3.700;4.800;6.600
 -20 ° ;1.360;1.640;2.000;2.450;3.100;4.000;5.300;7.700
 -25 ° ;1.350;1.650;2.050;2.550;3.300;4.300;6.000;9.000
 -30 ° ;1.330;1.650;2.050;2.650;3.500;4.700;6.700;10.500
 -35 ° ;1.290;1.630;2.050;2.700;3.600;5.000;7.500;12.300
 -40 ° ;1.250;1.630;2.100;2.800;3.800;5.500;8.500;14.600
 -45 ° ;1.200;1.580;2.100;2.850;4.000;5.900;9.600;17.300
 -50 ° ;1.140;1.520;2.050;2.900;4.200;6.400;10.800;20.500
 -55 ° ;1.070;1.460;2.050;2.900;4.400;7.000;12.300;25.000
 -60 ° ;  ;1.390;2.000;2.950;4.500;7.500;14.000;30.000
 -65 ° ;  ;1.310;1.930;2.950;4.700;8.200;16.000;36.000
 -70 ° ;  ;1.210;1.840;2.900;4.900;8.900;18.400;45.000
 -75 ° ;  ;1.100;1.750;2.900;5.000;9.700;21.500;55.000
 -80 ° ;  ;  ;1.630;2.800;5.200;10.600;25.000;58.000
 -85 ° ;  ;  ;1.500;2.750;5.300;11.700;29.000;64.000
 -90 ° ;  ;  ;1.340;2.600;5.500;12.800;34.000;104.000
