 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;1.050;1.080;1.100;1.120;1.140;1.140;1.140;1.150
 5 ° ;1.140;1.200;1.240;1.280;1.320;1.350;1.370;1.380
 0 ° ;1.200;1.300;1.370;1.450;1.520;1.580;1.610;1.650
 -5 ° ;1.250;1.370;1.490;1.600;1.720;1.800;1.900;1.930
 -10 ° ;1.280;1.430;1.600;1.740;1.900;2.050;2.200;2.250
 -15 ° ;1.300;1.480;1.680;1.880;2.100;2.300;2.500;2.650
 -20 ° ;1.310;1.520;1.750;2.000;2.300;2.550;2.850;3.100
 -25 ° ;1.310;1.550;1.820;2.100;2.450;2.800;3.200;3.600
 -30 ° ;1.300;1.570;1.880;2.200;2.650;3.100;3.500;4.100
 -35 ° ;1.280;1.580;1.930;2.350;2.800;3.400;4.000;4.700
 -40 ° ;1.250;1.580;1.970;2.450;3.000;3.700;4.500;5.400
 -45 ° ;1.220;1.570;2.000;2.550;3.200;4.000;5.000;6.300
 -50 ° ;1.170;1.540;2.000;2.650;3.400;4.400;5.700;7.300
 -55 ° ;1.120;1.510;2.050;2.700;3.600;4.800;6.400;8.500
 -60 ° ;1.040;1.470;2.050;2.750;3.800;5.200;7.200;10.000
 -65 ° ;  ;1.410;2.000;2.850;4.100;5.800;8.200;12.000
 -70 ° ;  ;1.340;1.990;2.950;4.400;6.300;9.400;14.500
 -75 ° ;  ;1.250;1.950;3.000;4.600;6.900;10.800;17.000
 -80 ° ;  ;1.150;1.890;3.000;4.800;7.700;12.400;21.000
 -85 ° ;  ;1.030;1.810;3.000;5.100;8.500;14.500;25.500
 -90 ° ;  ;  ;1.710;3.100;5.400;9.400;16.900;31.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;1.000;1.020;1.020
 15 ° ;1.030;1.070;1.100;1.130;1.170;1.200;1.230;1.260
 10 ° ;1.120;1.190;1.250;1.310;1.380;1.430;1.460;1.500
 5 ° ;1.200;1.300;1.390;1.490;1.570;1.670;1.730;1.800
 0 ° ;1.260;1.390;1.520;1.650;1.780;1.900;2.000;2.100
 -5 ° ;1.300;1.460;1.620;1.800;2.000;2.150;2.350;2.500
 -10 ° ;1.330;1.510;1.720;1.950;2.150;2.450;2.700;2.950
 -15 ° ;1.340;1.560;1.800;2.100;2.400;2.700;3.100;3.400
 -20 ° ;1.350;1.600;1.880;2.200;2.550;3.000;3.500;3.900
 -25 ° ;1.350;1.620;1.950;2.350;2.750;3.300;3.900;4.500
 -30 ° ;1.340;1.640;2.000;2.450;2.950;3.600;4.300;5.300
 -35 ° ;1.320;1.650;2.050;2.600;3.200;4.000;4.900;6.100
 -40 ° ;1.290;1.640;2.100;2.700;3.400;4.300;5.500;7.000
 -45 ° ;1.250;1.640;2.150;2.800;3.600;4.700;6.200;8.300
 -50 ° ;1.200;1.610;2.150;2.900;3.900;5.200;7.000;9.700
 -55 ° ;1.140;1.580;2.200;3.000;4.200;5.700;8.000;11.500
 -60 ° ;1.070;1.530;2.200;3.100;4.400;6.300;9.200;13.600
 -65 ° ;  ;1.470;2.150;3.200;4.600;6.900;10.400;16.400
 -70 ° ;  ;1.400;2.100;3.200;4.900;7.600;12.000;19.900
 -75 ° ;  ;1.310;2.100;3.300;5.200;8.400;14.000;24.000
 -80 ° ;  ;1.200;2.000;3.400;5.600;9.400;16.100;29.000
 -85 ° ;  ;1.090;1.940;3.400;5.900;10.400;18.700;36.000
 -90 ° ;  ;  ;1.840;3.400;6.300;11.600;22.100;44.000
;;;;;;;;
