 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 20 ° ;1.190;1.330;1.510;1.700;1.920;2.200;2.500;2.900
 15 ° ;1.240;1.420;1.620;1.850;2.100;2.450;2.800;3.400
 10 ° ;1.300;1.490;1.720;1.990;2.300;2.700;3.200;3.900
 5 ° ;1.340;1.560;1.810;2.100;2.500;3.000;3.600;4.500
 0 ° ;1.360;1.620;1.910;2.250;2.700;3.300;4.100;5.200
 -5 ° ;1.400;1.670;1.990;2.400;2.950;3.600;4.600;6.000
 -10 ° ;1.420;1.720;2.100;2.550;3.200;4.000;5.200;6.900
 -15 ° ;1.420;1.750;2.150;2.700;3.400;4.400;5.900;8.100
 -20 ° ;1.430;1.770;2.200;2.800;3.600;4.800;6.600;9.500
 -25 ° ;1.420;1.790;2.300;2.950;3.900;5.300;7.500;11.200
 -30 ° ;1.390;1.800;2.350;3.100;4.200;5.800;8.500;13.200
 -35 ° ;1.370;1.790;2.350;3.200;4.400;6.400;9.600;15.700
 -40 ° ;1.340;1.770;2.400;3.300;4.700;7.000;11.000;18.700
 -45 ° ;1.260;1.750;2.400;3.400;5.000;7.700;12.600;22.500
 -50 ° ;1.230;1.710;2.400;3.500;5.300;8.500;14.500;27.000
 -55 ° ;1.160;1.660;2.400;3.600;5.600;9.300;16.600;33.000
 -60 ° ;1.080;1.590;2.400;3.600;5.900;10.400;19.300;41.000
 -65 ° ;  ;1.510;2.350;3.800;6.300;11.400;22.500;50.000
 -70 ° ;  ;1.420;2.300;3.800;6.700;12.700;26.000;62.000
 -75 ° ;  ;1.310;2.200;3.900;7.100;14.100;31.000;76.000
 -80 ° ;  ;1.180;2.100;3.900;7.500;15.800;36.000;95.000
 -85 ° ;  ;1.050;2.000;3.900;8.000;17.700;43.000;119.000
 -90 ° ;  ;  ;1.850;3.900;8.500;19.900;51.000;148.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;1.010;1.060;1.150
 45 ° ;  ;  ;  ;1.030;1.110;1.210;1.310;1.420
 40 ° ;  ;  ;1.080;1.190;1.290;1.420;1.560;1.720
 35 ° ;  ;1.100;1.210;1.340;1.480;1.650;1.840;2.050
 30 ° ;1.070;1.190;1.340;1.490;1.680;1.680;2.150;2.450
 25 ° ;1.140;1.290;1.460;1.650;1.880;2.150;2.450;2.850
 20 ° ;1.210;1.370;1.570;1.800;2.050;2.400;2.600;3.300
 15 ° ;1.270;1.450;1.680;1.940;2.250;2.650;3.200;3.900
 10 ° ;1.310;1.520;1.780;2.100;2.450;2.950;3.600;4.500
 5 ° ;1.360;1.590;1.880;2.200;2.700;3.300;4.100;5.200
 0 ° ;1.380;1.650;1.960;2.350;2.900;3.600;4.600;6.000
 -5 ° ;1.420;1.700;2.050;2.500;3.100;4.000;5.200;7.000
 -10 ° ;1.440;1.750;2.150;2.650;3.400;4.400;5.800;8.200
 -15 ° ;1.440;1.780;2.200;2.800;3.600;4.800;6.600;9.700
 -20 ° ;1.440;1.810;2.300;2.950;3.900;5.300;7.500;11.400
 -25 ° ;1.450;1.830;2.350;3.100;4.100;5.800;8.500;13.500
 -30 ° ;1.420;1.830;2.400;3.200;4.400;6.300;9.700;16.000
 -35 ° ;1.380;1.830;2.450;3.300;4.700;7.000;11.100;19.300
 -40 ° ;1.360;1.810;2.450;3.500;5.000;7.700;12.700;23.000
 -45 ° ;1.290;1.780;2.500;3.600;5.400;8.500;14.600;28.000
 -50 ° ;1.240;1.740;2.500;3.700;5.700;9.400;16.900;34.000
 -55 ° ;1.170;1.680;2.500;3.800;6.000;10.400;19.600;42.000
 -60 ° ;1.060;1.620;2.450;3.900;6.400;11.500;23.000;51.000
 -65 ° ;  ;1.540;2.400;3.900;6.800;12.800;26.500;64.000
 -70 ° ;  ;1.440;2.350;4.000;7.200;14.200;31.000;78.000
 -75 ° ;  ;1.330;2.300;4.100;7.700;15.900;37.000;97.000
 -80 ° ;  ;1.200;2.200;4.100;8.100;17.800;44.000;122.000
 -85 ° ;  ;1.060;2.050;4.100;8.700;20.000;52.000;152.000
 -90 ° ;  ;  ;1.900;4.100;9.300;22.500;61.000;190.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;1.000;1.100;1.190;1.300;1.410
 45 ° ;  ;  ;1.060;1.170;1.290;1.420;1.580;1.760
 40 ° ;  ;1.060;1.180;1.320;1.480;1.660;1.880;2.100
 35 ° ;1.030;1.170;1.310;1.480;1.650;1.900;2.150;2.550
 30 ° ;1.100;1.260;1.420;1.620;1.850;2.150;2.500;2.950
 25 ° ;1.180;1.350;1.540;1.760;2.050;2.400;2.850;3.400
 20 ° ;1.240;1.420;1.630;1.800;2.250;2.650;3.200;4.000
 15 ° ;1.300;1.500;1.740;2.050;2.450;2.950;3.700;4.700
 10 ° ;1.350;1.570;1.860;2.200;2.700;3.300;4.200;5.500
 5 ° ;1.380;1.640;1.960;2.350;2.900;3.700;4.700;6.500
 0 ° ;1.400;1.700;2.050;2.500;3.100;4.100;5.400;7.500
 -5 ° ;1.440;1.750;2.150;2.700;3.400;4.500;6.100;8.900
 -10 ° ;1.460;1.800;2.250;2.850;3.700;4.900;6.800;10.500
 -15 ° ;1.460;1.830;2.300;3.000;3.900;5.500;7.900;12.500
 -20 ° ;1.460;1.860;2.400;3.100;4.200;6.000;9.000;14.800
 -25 ° ;1.460;1.880;2.450;3.300;4.500;6.600;10.300;17.800
 -30 ° ;1.430;1.870;2.500;3.400;4.900;7.200;11.800;21.000
 -35 ° ;1.400;1.860;2.550;3.600;5.200;8.100;13.500;25.800
 -40 ° ;1.380;1.850;2.600;3.700;5.500;8.900;15.600;31.000
 -45 ° ;1.300;1.830;2.600;3.800;5.900;9.900;18.100;38.000
 -50 ° ;1.250;1.790;2.600;3.900;6.300;10.900;21.000;47.000
 -55 ° ;1.180;1.720;2.600;4.000;6.700;12.100;24.500;58.000
 -60 ° ;1.090;1.650;2.550;4.100;7.100;13.500;29.000;71.000
 -65 ° ;  ;1.570;2.500;4.200;7.600;15.100;34.000;88.000
 -70 ° ;  ;1.470;2.450;4.300;8.000;16.800;40.000;111.000
 -75 ° ;  ;1.360;2.350;4.300;8.600;18.900;47.000;138.000
 -80 ° ;  ;1.220;2.250;4.400;9.100;21.000;56.000;172.000
 -85 ° ;  ;1.080;2.150;4.400;9.700;24.000;66.000;215.000
 -90 ° ;  ;  ;1.980;4.400;10.400;27.000;79.000;270.000
