 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -70 ° ;1.330;2.700;5.600;12.500;30.000;81.000;250.000;930.000
 -75 ° ;1.210;2.600;5.700;13.300;34.000;93.000;300.000;  
 -80 ° ;1.070;2.450;5.800;14.200;38.000;109.000;360.000;  
 -85 ° ;  ;2.350;5.900;15.100;42.000;125.000;440.000;  
 -90 ° ;  ;2.200;5.900;16.100;46.000;145.000;530.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.060;1.300;1.610;2.050;2.700;3.600;5.100
 45 ° ;  ;1.200;1.480;1.850;2.350;3.200;4.300;6.400
 40 ° ;1.090;1.340;1.660;2.100;2.700;3.700;5.200;7.800
 35 ° ;1.190;1.470;1.850;2.350;3.100;4.300;6.200;9.600
 30 ° ;1.280;1.600;2.000;2.650;3.500;5.000;7.400;12.000
 25 ° ;1.370;1.720;2.200;2.950;4.000;5.800;8.900;14.800
 20 ° ;1.450;1.850;2.400;3.200;4.500;6.700;10.600;18.400
 15 ° ;1.520;1.970;2.600;3.600;5.100;7.800;12.600;23.000
 10 ° ;1.590;2.100;2.800;3.900;5.700;9.000;15.200;28.000
 5 ° ;1.650;2.200;3.000;4.300;6.400;10.300;18.000;35.000
 0 ° ;1.710;2.300;3.200;4.700;7.200;12.100;21.000;44.000
 -5 ° ;1.750;2.400;3.400;5.100;8.100;13.800;25.500;55.000
 -10 ° ;1.790;2.500;3.600;5.500;9.000;15.800;30.000;68.000
 -15 ° ;1.820;2.600;3.800;6.000;10.000;18.200;36.000;86.000
 -20 ° ;1.830;2.650;4.000;6.500;11.100;21.000;44.000;108.000
 -25 ° ;1.830;2.750;4.200;7.000;12.400;24.000;52.000;134.000
 -30 ° ;1.830;2.800;4.400;7.500;13.700;28.000;63.000;168.000
 -35 ° ;1.810;2.850;4.600;8.100;15.200;32.000;75.000;210.000
 -40 ° ;1.780;2.850;4.800;8.700;17.000;37.000;91.000;270.000
 -45 ° ;1.740;2.900;5.000;9.300;18.800;42.000;109.000;340.000
 -50 ° ;1.690;2.900;5.200;10.000;21.000;49.000;132.000;420.000
 -55 ° ;1.620;2.850;5.300;10.600;23.000;57.000;158.000;530.000
 -60 ° ;1.540;2.850;5.500;11.400;26.000;66.000;190.000;660.000
 -65 ° ;1.440;2.800;5.600;12.200;29.000;76.000;230.000;840.000
 -70 ° ;1.340;2.700;5.700;13.000;32.000;88.000;275.000;  
 -75 ° ;1.220;2.600;5.800;13.800;35.000;101.000;330.000;  
 -80 ° ;1.080;2.500;5.900;14.800;39.000;118.000;400.000;  
 -85 ° ;  ;2.350;6.000;15.700;44.000;136.000;480.000;  
 -90 ° ;  ;2.200;6.000;16.700;49.000;157.000;580.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.130;1.400;1.770;2.300;3.100;4.300;6.400
 45 ° ;1.030;1.260;1.580;2.000;2.650;3.600;5.200;8.000
 40 ° ;1.130;1.400;1.760;2.250;3.000;4.200;6.200;9.900
 35 ° ;1.220;1.530;1.940;2.550;3.500;4.900;7.400;12.200
 30 ° ;1.310;1.660;2.150;2.850;3.900;5.700;8.900;15.100
 25 ° ;1.400;1.790;2.350;3.200;4.400;6.600;10.600;18.800
 20 ° ;1.480;1.910;2.550;3.500;5.000;7.600;12.700;23.500
 15 ° ;1.550;2.050;2.750;3.800;5.600;8.800;15.200;29.000
 10 ° ;1.630;2.150;2.950;4.200;6.300;10.200;18.200;36.000
 5 ° ;1.680;2.250;3.200;4.600;7.100;11.700;21.500;45.000
 0 ° ;1.740;2.400;3.400;5.000;7.900;13.500;26.000;56.000
 -5 ° ;1.780;2.500;3.600;5.400;8.900;15.600;31.000;70.000
 -10 ° ;1.820;2.600;3.800;5.900;9.900;18.000;37.000;88.000
 -15 ° ;1.850;2.650;4.000;6.400;11.000;21.000;44.000;111.000
 -20 ° ;1.860;2.750;4.200;6.900;12.300;24.000;53.000;138.000
 -25 ° ;1.860;2.800;4.400;7.500;13.600;27.500;63.000;174.000
 -30 ° ;1.860;2.900;4.700;8.000;15.200;31.000;76.000;218.000
 -35 ° ;1.840;2.900;4.900;8.600;16.800;36.000;91.000;270.000
 -40 ° ;1.810;2.950;5.000;9.300;18.700;42.000;110.000;350.000
 -45 ° ;1.770;2.950;5.200;10.000;21.000;48.000;133.000;430.000
 -50 ° ;1.720;2.950;5.400;10.700;23.000;56.000;159.000;540.000
 -55 ° ;1.640;2.950;5.600;11.400;25.500;65.000;192.000;680.000
 -60 ° ;1.560;2.900;5.700;12.200;28.500;75.000;230.000;860.000
 -65 ° ;1.460;2.850;5.900;13.000;32.000;87.000;278.000;  
 -70 ° ;1.360;2.800;6.000;13.900;35.000;100.000;330.000;  
 -75 ° ;1.230;2.700;6.100;14.800;39.000;116.000;400.000;  
 -80 ° ;1.090;2.550;6.200;15.800;44.000;134.000;490.000;  
 -85 ° ;  ;2.450;6.300;16.900;49.000;156.000;590.000;  
 -90 ° ;  ;2.250;6.400;18.000;54.000;180.000;710.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.200;1.540;1.980;2.650;3.700;5.500;8.800
 45 ° ;1.070;1.340;1.700;2.250;3.000;4.300;6.600;11.000
 40 ° ;1.170;1.470;1.900;2.550;3.500;5.100;7.900;13.600
 35 ° ;1.260;1.620;2.100;2.850;4.000;5.900;9.300;16.900
 30 ° ;1.360;1.750;2.300;3.100;4.500;6.800;11.400;21.000
 25 ° ;1.440;1.880;2.500;3.500;5.100;8.000;13.200;26.000
 20 ° ;1.520;2.000;2.750;3.900;5.700;9.200;16.600;32.000
 15 ° ;1.600;2.150;2.950;4.200;6.500;10.600;19.400;41.000
 10 ° ;1.680;2.250;3.200;4.600;7.200;12.300;23.000;51.000
 5 ° ;1.730;2.400;3.400;5.100;8.100;14.100;28.000;63.000
 0 ° ;1.780;2.500;3.600;5.500;9.100;16.300;33.000;79.000
 -5 ° ;1.830;2.600;3.800;6.000;10.200;18.900;40.000;99.000
 -10 ° ;1.870;2.700;4.100;6.500;11.300;21.000;48.000;125.000
 -15 ° ;1.890;2.800;4.300;7.000;12.000;25.000;57.000;153.000
 -20 ° ;1.900;2.850;4.500;7.600;14.000;29.000;68.000;196.000
 -25 ° ;1.900;2.950;4.700;8.200;15.500;33.000;83.000;244.000
 -30 ° ;1.900;3.000;4.900;8.900;17.400;38.000;99.000;310.000
 -35 ° ;1.880;3.000;5.200;9.500;19.300;44.000;119.000;390.000
 -40 ° ;1.850;3.100;5.400;10.200;21.500;51.000;142.000;490.000
 -45 ° ;1.810;3.100;5.600;11.000;24.000;59.000;172.000;620.000
 -50 ° ;1.750;3.100;5.800;11.700;26.500;68.000;210.000;780.000
 -55 ° ;1.670;3.100;5.900;12.500;29.500;79.000;250.000;970.000
 -60 ° ;1.590;3.000;6.100;13.400;33.000;91.000;300.000;  
 -65 ° ;1.480;2.950;6.300;14.300;36.000;106.000;360.000;  
 -70 ° ;1.340;2.900;6.400;15.300;41.000;122.000;430.000;  
 -75 ° ;1.250;2.800;6.500;16.400;45.000;142.000;520.000;  
 -80 ° ;1.110;2.650;6.600;17.500;50.000;164.000;630.000;  
 -85 ° ;  ;2.500;6.700;18.700;56.000;191.000;760.000;  
 -90 ° ;  ;2.350;6.800;19.900;63.000;220.000;920.000;  
